text_reference,X,Y,labels,value
trump,10.69513,-4.7136335,-1,0.028876396797208655
clinton,10.196545,-7.872446,-1,0.022202173612047495
cooper,12.493103,-7.653967,-1,0.019514946922712814
people,13.749145,-4.6511655,20,0.01922801261652772
secretary clinton,10.124656,-7.886498,6,0.014754943251709358
lot,11.897645,-3.2369914,46,0.012247431227654527
hillary clinton,11.571457,-7.644719,14,0.00804524708665573
years,6.7103486,-4.9121013,1,0.007736645037154635
russia,8.511652,1.0581218,8,0.007229403229142209
isis,11.256537,-4.8368616,52,0.0071106280109821075
women,13.733589,-4.6895733,20,0.006932848239850062
question,12.1483755,-2.0201404,29,0.0065569494055561705
president,10.01669,-7.8869305,6,0.006468858960166442
donald,12.638202,-7.856921,-1,0.006419523039871644
united states senator,9.807431,-7.4305124,3,0.0058828970494028176
taxes,8.38895,-2.0989077,58,0.005641635901145178
best way,10.016694,-2.6856296,-1,0.0054502460767124035
country,7.3996468,-1.7727977,11,0.0054303056511302294
minutes,6.710384,-4.9412827,1,0.005382906573317025
time,6.704259,-4.174299,4,0.004984599491742988
syria,8.531477,1.077187,8,0.004964967627192329
able,12.026702,-2.7730725,38,0.0045675885438229095
iraq,8.533585,1.0747578,8,0.004223353756356492
something,5.46577,-1.9807422,2,0.004198175667877205
assad,11.052042,-6.133095,-1,0.004112066727785105
number,8.471507,-2.9892092,34,0.0038643785771897902
money,8.421013,-2.0380378,58,0.0038186985669251237
disaster,8.185126,-2.547945,-1,0.0036645525105734817
world,8.1101885,-1.3891437,-1,0.003623806353786467
muslims,10.342374,1.1275196,-1,0.0036151193690821437
aleppo,10.79271,-5.9741616,42,0.003457995699986386
sure,12.04415,-2.7962766,38,0.0034022064013125813
everything,5.483772,-1.9974444,2,0.003399788775436379
emails,10.50857,-4.935539,43,0.003335341259061565
proud,12.215608,-4.72387,51,0.003310678279637442
fact,10.572235,-2.9295678,53,0.003246885550752183
state,9.444333,-0.52740616,40,0.0032056757997253296
children,13.703346,-4.718244,20,0.0031676640634143213
nothing,5.470456,-1.9914486,2,0.003166890051053368
insurance,9.574576,-1.4887141,64,0.0030497634827604636
anything,5.4873776,-2.0001435,2,0.0030037307464827363
mosul,10.786837,-5.9675546,42,0.002978527637058122
look,11.792081,-3.720325,47,0.0029700869170364596
everybody,12.005055,-3.7018292,47,0.0029582513736833996
audience,9.8178215,-2.3897429,60,0.002881439260493175
millions,10.416173,0.38799074,10,0.002852835264668955
senator,9.985259,-7.8763003,6,0.002826666076936741
president obama,10.0068,-7.8609686,6,0.0028144960571643385
things,12.7849865,-1.5601288,30,0.0026315128058867652
great,6.9303164,-2.326319,9,0.0025822084489642533
many others,12.191171,-1.0528874,18,0.002531611972546456
care,9.964675,-1.4613067,68,0.00251104706199557
